Category,Short_Name,Full_Name,Profit_4yr_%,Profit_5yr_%,Rank_4yr,Percentile_4yr,Rank_5yr,Percentile_5yr
Strategy,N100EQWT,NIFTY 100 EQUAL WEIGHT,75.35481406067134,78.93080034817717,58.0,0.4956521739130435,52.0,0.4434782608695652
Strategy,N500Q50,NIFTY500 QUALITY 50,79.23255533461766,83.07339860256612,64.0,0.5478260869565217,60.0,0.5130434782608696
Strategy,N500MMCQ50,NIFTY500 MULTICAP MOMENTUM QUALITY 50,87.04558086216491,90.50129975601378,75.0,0.6434782608695652,69.0,0.591304347826087
Strategy,N5ARB,NIFTY ALPHA 50,98.95180393673053,74.28027653762751,90.0,0.7739130434782608,47.0,0.4
Strategy,NAL50,NIFTY ALPHA 50,98.95180393673053,74.28027653762751,90.0,0.7739130434782608,47.0,0.4
Strategy,N500M50,NIFTY500 MOMENTUM 50,88.8251351722277,94.05039125288404,79.0,0.6782608695652174,72.0,0.6173913043478261
Strategy,N50EW,NIFTY50 EQUAL WEIGHT,68.32210287383653,80.56214711324193,48.0,0.40869565217391307,55.0,0.46956521739130436
Strategy,N500EW,NIFTY500 EQUAL WEIGHT,86.33654036355179,98.43072373010354,73.0,0.6260869565217392,75.0,0.6434782608695652
Strategy,N100LV30,NIFTY 100 LOW VOLATILITY 30,61.525299726898886,69.07581583288234,38.0,0.3217391304347826,37.0,0.3130434782608696
Strategy,NLV50,NIFTY LOW VOLATILITY 50,64.87812756640966,72.05248954762557,42.0,0.3565217391304348,45.0,0.3826086956521739
Strategy,NMSC400MQ100,Nifty MidSmallcap400 Momentum Quality 100,81.19598499523822,91.45231071481628,67.0,0.5739130434782609,70.0,0.6
Strategy,NDIVOP50,NIFTY DIVIDEND OPPORTUNITIES 50,65.31091351938258,85.68425991813817,43.0,0.3652173913043478,64.0,0.5478260869565217
Strategy,N200M30,NIFTY200 MOMENTUM 30,75.50259157154112,80.18013680161565,60.0,0.5130434782608696,54.0,0.4608695652173913
Strategy,NALV30,NIFTY ALPHA LOW VOLATILITY 30,62.86421280544388,75.01347029886571,40.0,0.3391304347826087,50.0,0.4260869565217391
Strategy,NHBETA50,NIFTY HIGH BETA 50,85.65911488495274,111.85742967661557,70.0,0.6,91.0,0.782608695652174
Strategy,NSC250Q50,Nifty Smallcap250 Quality 50,77.71693675790435,90.3259705136757,61.0,0.5217391304347826,68.0,0.5826086956521739
Strategy,NTOP15EW,NIFTY TOP 15 EQUAL WEIGHT,48.6597441004736,69.40152257480968,19.0,0.1565217391304348,38.0,0.3217391304347826
Strategy,N200Q30,NIFTY200 Quality 30,55.57437671354667,61.46385846925381,27.0,0.22608695652173913,28.0,0.23478260869565218
Strategy,NTOP20EW,NIFTY TOP 20 EQUAL WEIGHT,50.28631054186425,71.19016255527819,21.0,0.17391304347826086,43.0,0.3652173913043478
Strategy,N100Q30,NIFTY100 QUALITY 30,52.04692704173923,63.1219501225573,22.0,0.1826086956521739,31.0,0.2608695652173913
Strategy,NMC150Q50,NIFTY Midcap150 Quality 50,55.788374567830914,58.617936847823195,28.0,0.23478260869565218,20.0,0.16521739130434782
Strategy,N50V20,NIFTY50 VALUE 20,43.70574550071725,61.1910054426699,13.0,0.10434782608695652,26.0,0.21739130434782608
Strategy,NQLV30,NIFTY QUALITY LOW VOLATILITY 30,46.36498502805834,55.17244487307173,17.0,0.1391304347826087,17.0,0.1391304347826087
Strategy,NSC250MQ100,Nifty Smallcap250 Momentum Quality 100,68.71536324358917,79.06738491321025,49.0,0.41739130434782606,53.0,0.45217391304347826
Strategy,NGROW15,NIFTY GROWTH SECTORS 15,42.38368606423609,62.140930891915346,10.0,0.0782608695652174,30.0,0.25217391304347825
Strategy,NTOP10EW,NIFTY TOP 10 EQUAL WEIGHT,34.21471772593302,51.583588718738184,8.0,0.06086956521739131,12.0,0.09565217391304348
Strategy,N500FCQT30,Nifty500 Flexicap Quality 30,43.78543281794369,60.926677727123625,14.0,0.11304347826086956,25.0,0.20869565217391303
Thematic,NCM,Nifty Capital Markets,301.3742984032489,251.08473613871323,116.0,1.0,115.0,0.991304347826087
Thematic,NIDEF,Nifty India Defence,290.37184158259566,434.09555802165494,115.0,0.991304347826087,116.0,1.0
Thematic,NMAHIN,NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP,112.29118638281723,150.20996300936997,100.0,0.8608695652173913,106.0,0.9130434782608695
Thematic,NMIDLIQ15,NIFTY MIDCAP LIQUID 15,118.68206559340588,132.67524513412442,103.0,0.8869565217391304,101.0,0.8695652173913043
Thematic,NCPSE,NIFTY CPSE,146.567068934695,166.6181360830191,114.0,0.9826086956521739,109.0,0.9391304347826087
Thematic,NPSE,NIFTY PSE,141.67433906768358,159.85828685071434,112.0,0.9652173913043478,107.0,0.9217391304347826
Thematic,NMOBIL,Nifty Mobility,114.08412106397274,129.05030430174247,102.0,0.8782608695652174,100.0,0.8608695652173913
Thematic,NTRANS,Nifty Transportation & Logistics,112.34634618848796,134.6923216992007,101.0,0.8695652173913043,103.0,0.8869565217391304
Thematic,NNACON,NIFTY INDIA NEW AGE CONSUMPTION,104.62287831699739,105.9082961866209,96.0,0.8260869565217391,87.0,0.7478260869565218
Thematic,NIMFG,Nifty India Manufacturing,89.58440294433434,104.21931933107169,81.0,0.6956521739130435,83.0,0.7130434782608696
Thematic,NSMEE,NIFTY SME EMERGE,124.86782730003274,227.26673807249833,106.0,0.9130434782608695,113.0,0.9739130434782609
Thematic,NMFG532,NIFTY500 MULTICAP INDIA MANUFATURING 50:30:20,87.35741882707124,104.65107386656365,76.0,0.6521739130434783,84.0,0.7217391304347827
Thematic,NREiT,Nifty REITs & InvITs,54.85846690732357,43.646383497372334,26.0,0.21739130434782608,7.0,0.05217391304347826
Thematic,NINFRA,NIFTY INFRASTRUCTURE,90.86335191681768,99.41412964358747,82.0,0.7043478260869566,77.0,0.6608695652173913
Thematic,NINFRA532,NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,85.7889713090518,104.1868676624858,71.0,0.6086956521739131,82.0,0.7043478260869566
Thematic,NMSICON,Nifty MidSmall India Consumption,87.6115691042445,95.04441031779437,77.0,0.6608695652173913,74.0,0.6347826086956522
Thematic,NCOMM,NIFTY COMMODITIES,72.27630206797369,76.26651840971304,54.0,0.4608695652173913,51.0,0.43478260869565216
Thematic,NICON,NIFTY INDIA CONSUMPTION,70.88537498728894,83.0516000014208,51.0,0.43478260869565216,59.0,0.5043478260869565
Thematic,NIDIGI,Nifty India Digital,79.65275497323206,71.10662528998826,66.0,0.5652173913043478,42.0,0.3565217391304348
Thematic,NEVNAA,Nifty EV & New Age Automotive,78.65031469626143,105.41842263696566,62.0,0.5304347826086957,86.0,0.7391304347826086
Thematic,NLCLIQ15,NIFTY100 LIQUID 15,72.03203942838132,82.71717804645048,53.0,0.45217391304347826,57.0,0.48695652173913045
Thematic,N5CORP,NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),61.290321447379206,61.32052864154359,36.0,0.30434782608695654,27.0,0.22608695652173913
Thematic,NRURAL,Nifty Rural,69.88899765886859,84.32147050773835,50.0,0.4260869565217391,63.0,0.5391304347826087
Thematic,NBIRLA,NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP,66.60752318790793,84.26247632580254,45.0,0.3826086956521739,62.0,0.5304347826086957
Thematic,NMNC,NIFTY MNC,59.70878410925158,71.29602946144573,35.0,0.2956521739130435,44.0,0.3739130434782609
Thematic,NTOUR,NIFTY INDIA TOURISM,75.40935050193325,87.40014097744363,59.0,0.5043478260869565,66.0,0.5652173913043478
Thematic,N100ESG,NIFTY100 ESG,57.334546632324134,60.88963425212787,32.0,0.26956521739130435,24.0,0.2
Thematic,N100ESGE,NIFTY100 Enhanced ESG,57.18104947434624,60.781081116276646,31.0,0.2608695652173913,23.0,0.19130434782608696
Thematic,NRAIL,Nifty India Railways PSU,126.10653847087671,180.60292876943473,108.0,0.9304347826086956,111.0,0.9565217391304348
Thematic,N100ESGSL,Nifty100 ESG Sector Leaders,52.1683501270266,59.96548721091506,23.0,0.19130434782608696,21.0,0.17391304347826086
Thematic,NSERVSEC,NIFTY SERVICES SECTOR,44.55363185791438,53.87766223641531,15.0,0.12173913043478261,14.0,0.11304347826086956
Thematic,NENERGY,NIFTY ENERGY,66.38109249559272,46.48629120263673,44.0,0.3739130434782609,9.0,0.06956521739130435
Thematic,NHOUSING,Nifty Housing,59.32111455467292,69.4209126613713,33.0,0.2782608695652174,39.0,0.33043478260869563
Thematic,NNCCON,Nifty Non-Cyclical Consumer Index,61.420932130587616,70.44701424091662,37.0,0.3130434782608696,40.0,0.3391304347826087
Thematic,NCHOUS,Nifty Core Housing,56.25597269895691,64.53752931847308,30.0,0.25217391304347825,32.0,0.26956521739130435
Thematic,N500SH,NIFTY500 SHARIAH,45.26064212110761,50.50234181283866,16.0,0.13043478260869565,11.0,0.08695652173913043
Thematic,NSH25,NIFTY SHARIAH 25,42.7364627380579,45.303957119167706,11.0,0.08695652173913043,8.0,0.06086956521739131
Thematic,NIPO,NIFTY IPO,67.50323395806383,50.19151662283363,47.0,0.4,10.0,0.0782608695652174
Thematic,NTATA25,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,48.496118784749456,54.804569173433784,18.0,0.14782608695652175,16.0,0.13043478260869565
Thematic,N50SH,NIFTY50 SHARIAH,25.143862508183805,27.987139116861144,5.0,0.034782608695652174,4.0,0.02608695652173913
Thematic,NTATA,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP,25.050702003214546,30.80370026361165,4.0,0.02608695652173913,5.0,0.034782608695652174
Thematic,NWAVES,Nifty Waves,5.321122854000286,-0.732884708130703,2.0,0.008695652173913044,2.0,0.008695652173913044
